Group	C	A	D	C	A	D	C	A	C	D	D	B	B	A	B	B
Sample	937A	913A	947A	935A	914A	949A	936A	912A	934A	9410A	9411A	929A	9211A	916A	928A	927A
Bacteria	46.260067	69.521872	60.412104	36.387792	47.523017	30.341991	64.726896	56.068067	77.555742	32.166425	49.317807	42.267006	40.970483	44.225878	43.613323	64.155364
Bacteria|Actinobacteria	1.71989	1.596251	0.125879	2.616526	1.849678	0.049221	4.576478	2.341759	3.359079	0.068405	0.209754	0.042468	0.028737	0.529169	0.020343	0.059923
Bacteria|Actinobacteria|Actinobacteria	1.088161	0.601161	0.112323	1.989150	0.833099	0.033470	4.238037	0.799111	3.247960	0.026155	0.178389	0.038607	0.016421	0.231862	0.006103	0.003632
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	1.088161	0.601161	0.112323	1.989150	0.833099	0.033470	4.238037	0.799111	3.247960	0.026155	0.178389	0.038607	0.016421	0.231862	0.006103	0.003632
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae	1.088161	0.601161	0.112323	1.989150	0.833099	0.033470	4.238037	0.799111	3.247960	0.026155	0.178389	0.038607	0.016421	0.231862	0.006103	0.003632
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium	1.088161	0.601161	0.112323	1.989150	0.833099	0.033470	4.238037	0.799111	3.247960	0.026155	0.178389	0.038607	0.016421	0.231862	0.006103	0.003632
Bacteria|Actinobacteria|Coriobacteriia	0.631729	0.995090	0.013556	0.627376	1.016579	0.015751	0.338441	1.542648	0.111119	0.042250	0.031365	0.003861	0.012316	0.297307	0.014240	0.056291
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0.631729	0.995090	0.013556	0.627376	1.016579	0.015751	0.338441	1.542648	0.111119	0.042250	0.031365	0.003861	0.012316	0.297307	0.014240	0.056291
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.631729	0.995090	0.013556	0.627376	1.016579	0.015751	0.338441	1.542648	0.111119	0.042250	0.031365	0.003861	0.012316	0.297307	0.014240	0.056291
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Adlercreutzia	0.631729	0.995090	0.013556	0.627376	1.016579	0.015751	0.338441	1.542648	0.111119	0.042250	0.031365	0.003861	0.012316	0.297307	0.014240	0.056291
Bacteria|Bacteroidetes	8.410921	3.72832	22.081065	7.641067	0.479362	10.980292	14.778603	1.153632	0.107476	12.009094	16.780365	16.068257	16.398457	6.514586	27.332832	3.005212
Bacteria|Bacteroidetes|Bacteroidia	8.410921	3.72832	22.081065	7.641067	0.479362	10.980292	14.778603	1.153632	0.107476	12.009094	16.780365	16.068257	16.398457	6.514586	27.332832	3.005212
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	8.410921	3.72832	22.081065	7.641067	0.479362	10.980292	14.778603	1.153632	0.107476	12.009094	16.780365	16.068257	16.398457	6.514586	27.332832	3.005212
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	1.116274	0.795325	15.486957	1.963317	0.056201	7.087870	0.552787	0.159056	0.036433	4.530822	10.632792	10.450930	9.138306	1.321990	3.582399	1.274718
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	1.116274	0.795325	15.486957	1.963317	0.056201	7.087870	0.552787	0.159056	0.036433	4.530822	10.632792	10.450930	9.138306	1.321990	3.582399	1.274718
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae	0.076072	2.400911	0.641013	0.333985	0.135544	0.842669	0	0.490581	0	0.225334	0.129381	0.889893	0.562421	0.762902	0.659113	0.083529
