# Construct
#OTU ID	912A	913A	914A	916A	9211A	927A	928A	929A	934A	935A	936A	937A	9410A	9411A	947A	949A	taxonomy
Otu573	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia; Akkermansia_muciniphila
Otu486	11	23	1	288	3	0	3	1	74	145	24	14	4	5	3	16	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu487	155	3	111	337	10	0	0	0	0	28	0	7	4	0	8	2	Bacteria; TM7; TM7-3; CW040; F16
Otu488	2	0	3	45	27	19	82	23	0	37	70	22	5	14	7	7	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Paraprevotellaceae; Prevotella
Otu489	0	6	0	0	3	0	3	2	0	0	5	0	6	2	6	7	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus
Otu510	0	0	0	0	2	0	1	0	0	0	0	0	6	0	2	2	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu529	3	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu528	12	9	22	128	12	2	4	2	65	8	180	12	10	58	12	27	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Ruminococcus_gnavus
Otu523	25	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu522	25	52	17	3	134	18	131	116	4	166	38	133	130	136	49	260	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira
Otu521	9	0	5	12	0	0	0	0	0	0	0	5	0	0	0	0	Bacteria; Cyanobacteria; 4C0d-2; YS2
Otu520	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu527	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	2	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu526	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu525	0	1	6	3	1	0	0	0	0	3	1	2	0	0	0	0	Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Lysinibacillus; Lysinibacillus_boronitolerans
Otu524	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae
Otu318	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	24	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu319	2	2	5	4	0	0	0	0	0	1	1	30	0	2	0	0	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Comamonas
Otu310	4	20	0	13	0	0	0	0	15	37	2	32	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu311	0	0	0	0	8	0	8	2	0	0	0	0	28	6	4	15	Bacteria; Bacteroidetes
Otu312	15	30	1	9	7	3	1	1	6	6	9	12	12	3	1	17	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae
Otu313	0	0	0	0	4	0	31	0	0	0	0	0	8	0	2	7	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu314	37	0	0	1	2	0	2	0	0	11	0	1	1	0	0	5	Bacteria; Tenericutes; Mollicutes; RF39
Otu315	0	0	0	0	23	0	22	0	0	0	0	0	0	0	17	0	Bacteria; Tenericutes; Mollicutes; RF39
Otu316	4	17	8	0	4	0	4	1	43	3	10	0	6	3	5	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu317	0	0	5	0	0	0	0	0	0	0	0	24	0	0	0	0	Bacteria; Cyanobacteria; Chloroplast; Streptophyta
Otu610	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu417	0	0	0	0	5	3	4	7	0	0	0	0	5	5	3	8	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu416	271	1	110	150	85	80	33	49	4	19	3	190	50	156	37	58	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira
Otu415	12	3	1	2	1	0	0	6	1	5	2	8	1	3	2	1	Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Micrococcaceae; Arthrobacter
Otu414	20	15	3	2	1	0	1	0	0	21	0	8	1	9	7	5	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus
Otu413	0	0	1	16	0	0	0	0	0	16	0	0	10	0	1	13	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu412	0	0	0	0	8	1	3	6	0	0	0	0	10	10	3	0	Bacteria; Firmicutes; Clostridia; Clostridiales
