Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13	Axis14	Axis15
912A	-0.547465145500133	-0.193019644567535	-0.217511098705377	0.14082236234591	0.100869189579168	0.3404194450691	0.151529567939745	0.119579586186734	-0.071730308149493	-0.0202376424216973	0.0467453761008023	-0.111466802263583	0.10600439607977	-0.0241625797672737	0.0345123312017408
913A	-0.404288084081567	0.258884839700025	-0.313876716095083	-0.145920867785252	0.0894761304652853	0.0928130278816109	0.0969869522396037	-0.0959271577060646	-0.0609082598353914	0.0889016530849809	-0.179266191373614	0.150261677358399	-0.120560814498095	0.017494899996673	-0.0552440945370323
914A	-0.493289132271924	-0.223109668864829	-0.341990780370772	0.259438878785869	-0.329186715069999	-0.274023519478875	-0.0249437074948947	-0.0219765859191647	0.0332785741329873	-0.112043191457545	-0.00128920500828517	0.0244045979882732	0.0113562865593817	-0.00763113761286873	2.90459948868514e-05
916A	-0.415016413235742	0.0941460794340547	-0.0530366317190644	-0.228988123884671	0.311634366622884	-0.35262350405876	-0.020640631340861	0.0848363398795357	-0.0632627147571249	0.11099598050181	0.0893547685689147	-0.0722404960435566	0.0509185439705723	0.00454816691332977	0.0118564473607776
9211A	0.470291585816697	-0.118723151725916	-0.0635189223689454	-0.152679497169511	-0.0623302932796996	0.0166947888271669	0.142162749424449	-0.0331391254461348	-0.0594072701846069	-0.0784679688915003	0.123594121835534	-0.00418420928185633	-0.00960459897296289	0.245450725045837	-0.0508564785073734
927A	0.185434467856709	0.520699406984675	-0.0768683961840001	0.107390373561923	0.090301110338806	0.0122397733105276	0.0110304224917794	-0.0684958745080342	0.350005987128967	-0.0751726026479437	-0.037569265071162	-0.128119035328607	0.0262005925205016	0.0129418792183487	-0.0412751825534799
928A	0.337447810796674	-0.232089575126964	0.0917628040002183	-0.280870386135147	-0.0768720821271502	-0.0500942320070857	0.307479876567369	-0.0141028704115609	0.0665034648195472	-0.0650116665338424	0.0460206031204694	-0.0088695647861434	-0.0699708904402918	-0.179720231065811	-0.00950276353926676
929A	0.409897879222995	0.211368882613841	0.0108169036894841	0.202867175036483	0.163482833682564	-0.0156051075028917	-0.0816985722785688	-0.238023510755358	-0.268073779786768	-0.179054307039118	0.0314111170004581	-0.00349556384640761	0.0145631268228422	-0.07534622935402	0.010593242555728
934A	-0.333022817472475	0.52540936210162	0.179513155521881	-0.0213927514767659	-0.233564649833375	0.108626456488217	-0.117481338973477	0.127725060258365	-0.0604704542024234	0.0322695435355516	0.19228294615498	0.00755039440652479	-0.119071317934787	-0.0304087373293448	-0.0147398179115879
935A	-0.319893295438888	-0.477410133031627	0.322138782514106	0.101602514211811	0.0952467357509275	0.0163270149360399	-0.126824642937466	-0.0291637567101436	0.00919879202638664	-0.0172200537672984	-0.0937115142139893	-0.134611835300923	-0.171567439403435	0.0335701745391472	-0.0726789256229238
936A	-0.207775840872563	0.218324585396445	0.4103735022246	-0.105696151466918	-0.220514645243565	-0.0384775246296436	0.0953714151216885	-0.036542351570483	-0.0938686645598275	0.0203944154510576	-0.192045317902281	-0.0444055253292394	0.139579147569864	0.0433465382895674	0.0655905834607606
937A	-0.397257223795967	-0.215026647415994	0.28475413046806	0.0294621294881601	0.129440688569192	0.0638206416105031	-0.0485179941751224	-0.125774590913473	0.179054144620007	-0.0228167297012074	0.106404387085117	0.226404455760885	0.082950692261835	0.0121005992492219	0.0312384480642991
9410A	0.328360475096569	-0.0905995864886308	-0.115347431016011	-0.289003900564817	0.0286046491696913	0.0591384018100979	-0.256685095853904	0.244918048459752	0.021772883193948	-0.199465547368584	-0.105053240694209	0.0549312975126344	0.0211750090778995	-0.0118612283447089	0.0473167724964503
9411A	0.516730025700508	-0.0572564654005282	0.0683248231915606	0.235117987469502	-0.00904850571071491	-0.0255495356417181	-0.00577579422066728	0.169506249722355	-0.0408577395935916	0.147690307385668	-0.0327811867016822	0.073420643661836	0.105843118776676	-0.0435234479869508	-0.187691185808456
947A	0.511977131900078	-0.00131286347708369	0.0144375074903511	0.325580195707228	0.0724485425306069	-0.0549866352275792	0.0901844454603097	0.124285044940113	0.0266555996916042	0.125143145849491	-0.0275978167885166	0.0435469523382787	-0.107924053976117	0.0345854329467446	0.18587093466412
949A	0.357868576279029	-0.220285420131552	-0.199971632641009	-0.177729938123808	-0.149987355444619	0.10128050861329	-0.212177651969983	-0.207704505506437	0.0321097454557802	0.244094664020176	0.0335004178874643	-0.0731269868465097	0.0401082015863476	-0.0313848247378939	0.0449806426813585
