Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13	Axis14	Axis15
912A	-0.547465145500133	-0.193019644567536	-0.217511098705377	0.140822362345911	0.10086918957917	0.340419445069101	0.151529567939745	0.119579586186733	-0.0717303081494911	0.0202376424216964	0.0467453761008016	0.111466802263583	0.106004396079771	-0.0241625797672739	0.0345123312017386
913A	-0.404288084081567	0.258884839700025	-0.313876716095083	-0.145920867785252	0.0894761304652871	0.0928130278816102	0.0969869522396026	-0.0959271577060663	-0.0609082598353911	-0.0889016530849804	-0.179266191373614	-0.1502616773584	-0.120560814498096	0.0174948999966736	-0.0552440945370309
914A	-0.493289132271924	-0.223109668864829	-0.341990780370773	0.25943887878587	-0.329186715070001	-0.274023519478873	-0.0249437074948935	-0.0219765859191633	0.0332785741329859	0.112043191457545	-0.0012892050082849	-0.0244045979882728	0.0113562865593812	-0.00763113761286845	2.90459948866305e-05
916A	-0.415016413235742	0.094146079434055	-0.0530366317190643	-0.22898812388467	0.311634366622882	-0.352623504058762	-0.0206406313408604	0.0848363398795364	-0.0632627147571262	-0.11099598050181	0.0893547685689147	0.0722404960435573	0.0509185439705727	0.00454816691332945	0.0118564473607774
9211A	0.470291585816697	-0.118723151725916	-0.0635189223689461	-0.15267949716951	-0.0623302932796996	0.0166947888271674	0.142162749424449	-0.0331391254461342	-0.0594072701846064	0.0784679688914996	0.123594121835534	0.0041842092818591	-0.00960459897296529	0.245450725045838	-0.0508564785073725
927A	0.185434467856709	0.520699406984675	-0.0768683961840001	0.107390373561923	0.0903011103388058	0.0122397733105253	0.0110304224917775	-0.0684958745080336	0.350005987128967	0.0751726026479438	-0.0375692650711625	0.128119035328607	0.0262005925205005	0.0129418792183486	-0.0412751825534794
928A	0.337447810796674	-0.232089575126964	0.0917628040002181	-0.280870386135147	-0.0768720821271502	-0.0500942320070853	0.307479876567368	-0.0141028704115614	0.0665034648195468	0.0650116665338427	0.0460206031204694	0.00886956478614374	-0.069970890440293	-0.179720231065811	-0.00950276353926593
929A	0.409897879222994	0.21136888261384	0.0108169036894843	0.202867175036484	0.163482833682563	-0.0156051075028909	-0.0816985722785695	-0.238023510755358	-0.268073779786768	0.17905430703912	0.0314111170004591	0.00349556384640776	0.0145631268228426	-0.0753462293540196	0.0105932425557274
934A	-0.333022817472475	0.52540936210162	0.179513155521882	-0.0213927514767661	-0.233564649833376	0.108626456488219	-0.117481338973477	0.127725060258365	-0.0604704542024234	-0.0322695435355527	0.192282946154979	-0.00755039440652338	-0.119071317934789	-0.0304087373293443	-0.0147398179115858
935A	-0.319893295438888	-0.477410133031628	0.322138782514106	0.101602514211811	0.0952467357509274	0.0163270149360392	-0.126824642937467	-0.0291637567101443	0.00919879202638643	0.0172200537672976	-0.0937115142139913	0.134611835300924	-0.171567439403437	0.0335701745391473	-0.0726789256229199
936A	-0.207775840872563	0.218324585396445	0.4103735022246	-0.105696151466918	-0.220514645243565	-0.0384775246296423	0.09537141512169	-0.0365423515704837	-0.0938686645598275	-0.020394415451057	-0.192045317902281	0.0444055253292381	0.139579147569867	0.0433465382895674	0.065590583460758
937A	-0.397257223795966	-0.215026647415994	0.28475413046806	0.0294621294881595	0.129440688569191	0.0638206416105014	-0.0485179941751228	-0.125774590913472	0.179054144620008	0.0228167297012087	0.10640438708512	-0.226404455760885	0.0829506922618352	0.0121005992492228	0.031238448064297
9410A	0.328360475096569	-0.0905995864886308	-0.11534743101601	-0.289003900564817	0.0286046491696907	0.0591384018100982	-0.256685095853903	0.244918048459753	0.0217728831939478	0.199465547368584	-0.105053240694209	-0.054931297512635	0.021175009077901	-0.0118612283447087	0.0473167724964494
9411A	0.516730025700508	-0.0572564654005281	0.0683248231915609	0.235117987469502	-0.00904850571071503	-0.0255495356417184	-0.00577579422066578	0.169506249722354	-0.0408577395935907	-0.147690307385669	-0.0327811867016816	-0.0734206436618358	0.105843118776671	-0.0435234479869506	-0.187691185808458
947A	0.511977131900078	-0.00131286347708379	0.0144375074903506	0.325580195707228	0.0724485425306076	-0.054986635227579	0.09018444546031	0.124285044940113	0.0266555996916034	-0.125143145849492	-0.0275978167885173	-0.0435469523382798	-0.107924053976113	0.0345854329467444	0.185870934664122
949A	0.357868576279029	-0.220285420131552	-0.19997163264101	-0.177729938123808	-0.14998735544462	0.10128050861329	-0.212177651969984	-0.207704505506438	0.0321097454557799	-0.244094664020176	0.0335004178874638	0.073126986846509	0.0401082015863495	-0.0313848247378942	0.044980642681358
