Group	D	A	A	B	D	C	A	C	C	C	B	B	B	A	D	D
Sample	642A	711A	612A	621A	742A	631A	611A	732A	632A	731A	722A	721A	622A	712A	741A	641A
Bacteria	25.990972	59.806629	43.246573	51.493527	58.257728	34.819533	46.046868	51.67777	36.006755	31.288196	40.449648	55.714484	31.328456	48.521556	45.406646	34.486536
Bacteria|Bacteroidetes	3.967832	3.892693	7.155288	20.326715	6.123091	13.521383	1.107859	4.567376	6.088973	10.901817	9.842601	20.434877	1.750964	10.949819	10.600512	7.05266
Bacteria|Bacteroidetes|Bacteroidia	3.967832	3.892693	7.155288	20.326715	6.123091	13.521383	1.107859	4.567376	6.088973	10.901817	9.842601	20.434877	1.750964	10.949819	10.600512	7.05266
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	3.967832	3.892693	7.155288	20.326715	6.123091	13.521383	1.107859	4.567376	6.088973	10.901817	9.842601	20.434877	1.750964	10.949819	10.600512	7.05266
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	1.149153	2.984204	0.308974	0.594958	3.762617	0.897786	0.100179	1.113745	0.248280	4.155275	7.229041	19.211411	0.150315	4.200012	2.459417	0.195188
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	1.149153	2.984204	0.308974	0.594958	3.762617	0.897786	0.100179	1.113745	0.248280	4.155275	7.229041	19.211411	0.150315	4.200012	2.459417	0.195188
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae	1.003292	0.147848	0.089954	0.047024	0.017674	0.319482	0.155179	0.249315	0.075298	0.281441	0.054275	0.069628	0.089376	4.950652	0.138329	0.025892
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter	1.003292	0.147848	0.089954	0.047024	0.017674	0.319482	0.155179	0.249315	0.075298	0.281441	0.054275	0.069628	0.089376	4.950652	0.138329	0.025892
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paraprevotellaceae	0.000000	0.015563	0.207286	0.799411	0.003928	0.082904	0.021607	0.171660	0.085474	0.058298	0.025050	0.145225	0.087345	0.055603	0.020343	0.199171
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paraprevotellaceae|Paraprevotella	0.000000	0.015563	0.207286	0.799411	0.003928	0.082904	0.021607	0.171660	0.085474	0.058298	0.025050	0.145225	0.087345	0.055603	0.020343	0.199171
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	0.754933	0.044744	0.111465	0.860747	0.068733	0.408452	0.080536	0.047002	0.083438	0.158813	0.244238	0.254640	0.205159	0.704967	0.478050	0.183238
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	0.754933	0.044744	0.111465	0.860747	0.068733	0.408452	0.080536	0.047002	0.083438	0.158813	0.244238	0.254640	0.205159	0.704967	0.478050	0.183238
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	1.060454	0.250953	6.437609	18.024575	2.248537	11.812759	0.750358	2.934565	5.594448	2.754101	2.200234	0.751984	1.218769	0.693052	7.453517	6.449171
