# Construct
#OTU ID	611A	612A	621A	622A	631A	632A	641A	642A	711A	712A	721A	722A	731A	732A	741A	742A	taxonomy
Otu649	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus
Otu573	0	3	13	58	0	14	5	4	0	2	0	1	1	2	0	1	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu714	1	0	0	11	1	0	0	0	4	0	16	0	10	2	2	1	Bacteria; Tenericutes; Mollicutes; RF39
Otu486	0	0	0	0	0	1	1	2	2	2	0	1	2	3	8	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Clostridium; Clostridium_methylpentosum
Otu715	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu487	158	9	0	20	164	2	64	0	1343	0	1	0	59	2	2	147	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu716	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; Geobacillus_vulcani
Otu488	0	0	2	2	0	6	1	5	2	0	0	1	2	0	0	4	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu717	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu489	0	0	0	1	0	0	0	0	0	0	0	0	12	0	1	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu710	2	5	12	8	4	16	0	19	0	13	2	3	0	8	7	6	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu711	0	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu712	0	2	3	6	1	9	84	3	1	0	17	0	13	10	20	65	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu713	21	3	7	14	11	35	3	6	30	24	6	11	4	5	17	14	Bacteria; TM7; TM7-3; CW040; F16
Otu510	2	1	1	1	0	0	1	0	1	0	5	2	1	0	9	2	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu529	2	5	4	0	0	0	1	0	0	0	3	0	0	0	2	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus
Otu528	2	4	6	0	0	0	1	0	0	0	0	0	55	0	1	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu523	0	0	2	6	2	0	0	15	4	1	15	6	8	25	28	8	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu522	30	24	2	16	17	10	0	45	0	2	0	0	7	0	1	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu521	0	0	3	0	0	0	0	0	0	0	1	0	1	0	5	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium
Otu520	0	2	7	1	2	0	2	0	2	0	1	1	0	1	0	0	Bacteria; Tenericutes; Mollicutes; RF39
Otu527	0	0	0	1	0	0	2	0	1	4	0	9	1	1	3	4	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu526	2	0	0	0	0	0	2	0	0	0	0	2	5	6	0	1	Bacteria; Tenericutes; Mollicutes; RF39
Otu525	0	0	0	0	1	0	0	0	3	0	0	2	1	9	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu524	0	0	3	6	3	1	5	0	3	1	1	0	1	0	0	3	Bacteria; Firmicutes; Erysipelotrichi; Erysipelotrichales; Erysipelotrichaceae
Otu318	3	6	6	2	8	3	3	7	1	3	4	26	2	7	6	5	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu319	0	2	1	1	1	0	0	29	0	0	0	0	0	1	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu310	3	0	5	9	0	2	1	25	8	0	2	15	33	7	4	3	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu311	1	0	0	2	0	0	0	0	0	0	0	0	0	0	21	0	Bacteria; Tenericutes; Mollicutes; RF39
Otu312	0	0	4	0	25	0	16	0	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Mogibacteriaceae
Otu313	0	29	0	0	0	0	0	0	0	0	0	11	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu314	25	12	4	3	1	22	17	4	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Veillonellaceae; Veillonella
Otu315	1	8	34	11	31	38	4	0	2	15	9	34	0	11	28	23	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Ruminococcus; Ruminococcus_gnavus
Otu316	34	9	9	25	1	42	3	9	2	30	2	6	2	3	1	8	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu317	0	0	0	0	0	0	0	0	24	7	25	4	3	5	18	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
Otu610	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_iners
Otu417	12	1	0	2	0	5	8	0	2	1	0	0	0	1	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_perfringens
Otu416	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Rikenellaceae
Otu415	0	0	0	0	0	0	0	0	0	0	0	0	7	11	3	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Clostridium; Clostridium_colinum
Otu414	0	3	1	0	19	0	0	0	1	0	0	0	1	5	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu413	0	7	12	5	1	3	7	0	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira
Otu412	1	6	9	1	1	2	8	0	2	0	7	10	3	0	8	5	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu411	8	54	97	5	64	40	47	11	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales
Otu410	3	7	0	10	22	18	2	8	0	0	3	4	4	17	0	0	Bacteria; Tenericutes; Mollicutes; RF39
Otu370	0	0	0	1	15	0	15	0	0	0	0	3	0	0	0	0	Bacteria; Firmicutes; Erysipelotrichi; Erysipelotrichales; Erysipelotrichaceae
Otu419	0	0	11	7	14	0	3	0	1	0	6	5	1	11	3	2	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae
Otu418	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu371	15	0	1	22	0	1	0	0	1	0	0	2	8	2	0	0	Bacteria; Firmicutes; Erysipelotrichi; Erysipelotrichales; Erysipelotrichaceae
Otu558	0	0	1	0	0	0	1	2	2	9	0	0	2	3	3	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Clostridium; Clostridium_methylpentosum
Otu559	0	0	2	1	1	1	1	3	0	0	0	5	3	0	2	1	Bacteria; Firmicutes; Clostridia; Clostridiales; Christensenellaceae
Otu556	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Adlercreutzia
Otu557	0	2	4	0	13	0	0	1	0	3	2	1	1	5	1	7	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu554	1	0	1	1	2	0	0	2	0	0	0	0	6	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu555	0	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae
Otu552	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu553	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	5	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
Otu550	0	1	0	6	3	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu551	31	10	17	3	11	93	8	39	4	3	60	25	1	15	35	11	Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae
Otu679	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	Bacteria; Firmicutes; Clostridia; Clostridiales
Otu678	0	0	0	0	0	0	0	0	4	0	0	1	1	9	1	1	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; S24-7
