Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13	Axis14	Axis15
611A	-0.395093540725444	0.297843646628957	0.332685136414074	-0.0257235215624476	0.016335012458844	0.0928952380587509	0.134957805414847	0.241336664173555	0.0978068283287726	-0.131427785401117	0.0937852696595336	0.0165561536407581	0.00656911447233691	-0.0123906283927716	0.073456452438858
612A	-0.533315923957854	-0.0567603392093172	-0.0300895489003016	0.10126949035906	0.000216973792224509	-0.00813351029625976	-0.09752645586724	0.0720262265949585	0.0510949418854739	-0.0505227810975922	-0.0300767791529809	0.128545323954677	-0.039910211589795	-0.0839807582279423	-0.205188656563196
621A	-0.31761681227488	-0.321598749369439	-0.0334948615624449	-0.0773326347797835	0.0719189399549089	0.0437556575147812	-0.0584299598927831	-0.202447774028722	-0.0482216822061689	-0.10308010043606	0.0949646406059573	0.0767464036213317	0.00812223955173576	-0.173225593956902	0.109036353919516
622A	-0.384399536645102	0.018093686103444	-0.130146942819253	-0.00581781344834467	-0.0333917688162329	-0.379098335751295	-0.0349508417933917	0.000478033686752403	0.238444767319545	0.14810528532725	0.0145241828330576	-0.0133149567415169	0.00668180927836605	0.0094159258379762	0.0608473268782077
631A	-0.394212326740823	-0.216654794570511	0.241772995378255	-0.0966611617681634	-0.170172477472353	0.0419578470913167	0.0582125324250495	0.013178856177447	-0.0985823984524013	0.0677036255727975	-0.237933067914261	-0.0392022290164537	-0.144962186069418	0.0301211681117925	0.0429405554791257
632A	-0.329791769748437	0.0109823732304191	0.117497943923099	-0.246368901406299	0.0962925520940487	-0.0722927652039933	0.165549434603896	-0.209714402952032	-0.0630030142710877	-0.0472885555835486	0.0955441843976904	-0.11632784121955	0.0469218744922543	0.135604799333294	-0.0969445772197521
641A	-0.445913845627448	-0.176742574891565	-0.121461998651602	0.172727692983784	0.00866507262516281	0.137840575905496	-0.206445302041911	0.148667089298689	-0.140144209368848	0.0920269937233023	0.0661500575765967	-0.0832535546427334	0.144748790165415	0.103428251090265	0.0254411187120924
642A	-0.222307312844891	0.275706912997883	-0.484593053249138	0.147316797603294	0.0732445910896673	0.190100032178315	0.249258179943884	-0.0797215263933833	0.00227564915706802	0.0460113162696846	-0.0804413516642461	0.0225650480058899	-0.015445735410556	-0.00565320666665389	0.0244768267138919
711A	0.386483957740448	0.0884563468454888	0.00617337913947446	-0.209230186277911	0.24873945410497	0.0902120383233211	-0.0908581946567945	0.0797317179890629	-0.0322443726379419	0.185731678711609	0.102997292187104	-0.0622637006798685	-0.166063186568797	-0.0774605679335073	-0.022365898344356
712A	0.191392134461382	0.376174636497376	-0.136485310048814	-0.330193452723969	-0.185410359803973	0.0326926732789226	-0.259888904640916	-0.0433221768526161	-0.00412686367743371	-0.0914484102303391	-0.101196328724345	-0.0304061619084797	0.075726515192115	-0.0262069400725995	0.00511859149134491
721A	0.488661353068763	-0.247220919750321	0.0372284473551846	-0.0188153477949311	-0.118432947540924	0.248982447122548	-0.0240589587819832	-0.073246027668526	0.27392332204004	0.0134864006057827	0.0412662595674078	0.0728878769271769	-0.0121115142930291	0.133089547344152	-0.00618623446763025
722A	0.437766762049632	-0.0490824910999946	-0.0688722589310079	0.0466917469217842	-0.410927340911543	-0.0760610300221561	0.174277111068495	0.0595717058904716	-0.125506890579077	0.0467430424056339	0.143123162644952	-0.0156224164222506	0.00988617841470042	-0.085824356969047	-0.0323214161630733
731A	0.231054068510978	0.295964573763348	0.371416279948755	0.417769176045173	0.012706029188048	-0.0193176125054662	-0.104275543957275	-0.214432526601107	-0.0387970951207487	0.060344355059731	-0.0118958493800819	-7.14124452127029e-05	0.00785575195732378	-0.0168434756588775	0.00385209080181186
732A	0.380955469433704	0.0197825914634187	-0.0341921864069469	-0.0629740878476908	0.122518185373703	-0.170519833919893	0.00838617284801568	0.0643927854382342	-0.177236362299703	-0.0236274670364972	-0.0141299492941849	0.246446388211696	-0.00548652166629885	0.140316851184306	0.0345554298872593
741A	0.385297784747586	-0.12669172197844	-0.183713991312053	0.220065837662037	0.0779368337846685	-0.12241966623472	-0.0495946473854479	0.0612576671730142	0.0153358305831945	-0.237660338888237	-0.0222353671450051	-0.159011267817301	-0.125891667971335	0.0370012054732883	0.00848250785778277
742A	0.521039538552385	-0.188253176660748	0.116275969722719	-0.0327236339655919	0.18976125007878	-0.0305937555396661	0.135387572713555	0.0822436880742067	0.0489815492993167	0.0249027409976017	-0.154446356197195	-0.0442736534681626	0.203358750044985	-0.107392220496774	-0.0252004714218884
