Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13	Axis14	Axis15
611A	-0.395093540725444	0.297843646628954	-0.332685136414074	-0.0257235215624477	0.0163350124588429	-0.0928952380587498	0.134957805414848	0.241336664173555	0.097806828328771	-0.131427785401116	0.093785269659536	0.0165561536407588	0.00656911447233858	-0.0123906283927722	0.0734564524388577
612A	-0.533315923957852	-0.0567603392093167	0.0300895489003011	0.10126949035906	0.00021697379222392	0.00813351029625924	-0.0975264558672398	0.0720262265949597	0.0510949418854724	-0.0505227810975932	-0.0300767791529793	0.128545323954675	-0.0399102115897904	-0.0839807582279433	-0.205188656563195
621A	-0.31761681227488	-0.32159874936944	0.0334948615624451	-0.0773326347797838	0.0719189399549088	-0.0437556575147823	-0.0584299598927836	-0.202447774028723	-0.0482216822061691	-0.103080100436058	0.0949646406059591	0.0767464036213322	0.0081222395517434	-0.173225593956902	0.109036353919515
622A	-0.384399536645102	0.0180936861034451	0.130146942819253	-0.00581781344834457	-0.0333917688162329	0.379098335751296	-0.0349508417933947	0.000478033686753858	0.238444767319546	0.148105285327249	0.0145241828330545	-0.0133149567415161	0.00668180927836457	0.00941592583797591	0.0608473268782074
631A	-0.394212326740823	-0.216654794570513	-0.241772995378254	-0.0966611617681637	-0.170172477472352	-0.0419578470913158	0.0582125324250494	0.0131788561774462	-0.0985823984524011	0.0677036255727917	-0.237933067914261	-0.0392022290164517	-0.144962186069422	0.0301211681117873	0.0429405554791257
632A	-0.329791769748437	0.0109823732304174	-0.117497943923099	-0.246368901406299	0.0962925520940487	0.0722927652039942	0.165549434603895	-0.209714402952032	-0.0630030142710868	-0.047288555583546	0.0955441843976906	-0.11632784121955	0.0469218744922499	0.135604799333297	-0.0969445772197505
641A	-0.445913845627448	-0.176742574891563	0.121461998651602	0.172727692983785	0.00866507262516183	-0.137840575905496	-0.206445302041908	0.148667089298688	-0.140144209368847	0.0920269937233051	0.0661500575765933	-0.0832535546427343	0.144748790165411	0.10342825109027	0.0254411187120935
642A	-0.222307312844891	0.275706912997887	0.484593053249137	0.147316797603294	0.0732445910896675	-0.190100032178314	0.249258179943885	-0.0797215263933841	0.00227564915706858	0.0460113162696826	-0.0804413516642469	0.0225650480058909	-0.0154457354105566	-0.00565320666665474	0.0244768267138915
711A	0.386483957740447	0.0884563468454888	-0.00617337913947471	-0.209230186277911	0.248739454104969	-0.0902120383233218	-0.0908581946567928	0.0797317179890635	-0.0322443726379409	0.185731678711611	0.102997292187102	-0.0622637006798678	-0.166063186568794	-0.0774605679335124	-0.022365898344356
712A	0.191392134461382	0.376174636497377	0.136485310048814	-0.330193452723969	-0.185410359803973	-0.0326926732789236	-0.259888904640917	-0.0433221768526155	-0.00412686367743401	-0.091448410230341	-0.101196328724344	-0.0304061619084799	0.0757265151921147	-0.0262069400725968	0.00511859149134505
721A	0.488661353068763	-0.247220919750321	-0.0372284473551848	-0.0188153477949309	-0.118432947540924	-0.248982447122548	-0.0240589587819822	-0.073246027668524	0.27392332204004	0.0134864006057827	0.0412662595674079	0.0728878769271781	-0.0121115142930334	0.133089547344151	-0.00618623446763023
722A	0.437766762049632	-0.0490824910999942	0.0688722589310077	0.0466917469217843	-0.410927340911543	0.0760610300221578	0.174277111068495	0.0595717058904697	-0.125506890579078	0.0467430424056376	0.14312316264495	-0.0156224164222517	0.0098861784147046	-0.0858243569690465	-0.0323214161630729
731A	0.231054068510978	0.295964573763346	-0.371416279948755	0.417769176045172	0.0127060291880482	0.0193176125054661	-0.104275543957276	-0.214432526601107	-0.0387970951207477	0.060344355059731	-0.0118958493800832	-7.14124452126312e-05	0.00785575195732397	-0.016843475658877	0.00385209080181187
732A	0.380955469433704	0.0197825914634186	0.0341921864069469	-0.0629740878476909	0.122518185373703	0.170519833919894	0.00838617284801524	0.0643927854382341	-0.177236362299704	-0.0236274670364966	-0.0141299492941839	0.246446388211697	-0.00548652166630211	0.140316851184304	0.0345554298872585
741A	0.385297784747586	-0.126691721978439	0.183713991312053	0.220065837662037	0.0779368337846687	0.122419666234719	-0.0495946473854486	0.0612576671730144	0.015335830583193	-0.237660338888239	-0.0222353671449993	-0.159011267817299	-0.125891667971337	0.0370012054732843	0.00848250785778332
742A	0.521039538552385	-0.188253176660749	-0.116275969722718	-0.0327236339655918	0.189761250078779	0.0305937555396664	0.135387572713555	0.0822436880742062	0.0489815492993172	0.0249027409975983	-0.154446356197197	-0.0442736534681645	0.203358750044987	-0.107392220496767	-0.0252004714218878
